BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA633940	SRR11814754	SAMN14917260	NA	seed	late grain filling stage	Xinnonggu2 35.31 N 113.87 E	RNA_B059	NA	cultivar:Xinnonggu2_35.31_N_113.87_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814755	SAMN14917403	NA	seed	late grain filling stage	Qinggu 29.33 N 95.33 E	RNA_B261	NA	cultivar:Qinggu_29.33_N_95.33_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814756	SAMN14917402	NA	seed	late grain filling stage	Erbaigu 44.32 N 85.62 E	RNA_B258	NA	cultivar:Erbaigu_44.32_N_85.62_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814757	SAMN14917401	NA	seed	late grain filling stage	Zhimasu 28.99 N 116.66 E	RNA_B257	NA	cultivar:Zhimasu_28.99_N_116.66_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814758	SAMN14917400	NA	seed	late grain filling stage	Maosu 28.99 N 116.66 E	RNA_B256	NA	cultivar:Maosu_28.99_N_116.66_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814759	SAMN14917399	NA	seed	late grain filling stage	Huangsu 28.44 N 118.19 E	RNA_B255	NA	cultivar:Huangsu_28.44_N_118.19_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814760	SAMN14917398	NA	seed	late grain filling stage	Nuosu 28.45 N 117.96 E	RNA_B254	NA	cultivar:Nuosu_28.45_N_117.96_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814761	SAMN14917236	NA	seed	late grain filling stage	Baiyousha 40.53 N 112.50 E	RNA_B031	NA	cultivar:Baiyousha_40.53_N_112.50_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814762	SAMN14917397	NA	seed	late grain filling stage	Xiannuo 28.45 N 117.96 E	RNA_B253	NA	cultivar:Xiannuo_28.45_N_117.96_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814763	SAMN14917489	NA	seed	late grain filling stage	Gonggu72 43.89 N 125.32 E	RNA_B377	NA	cultivar:Gonggu72_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814764	SAMN14917488	NA	seed	late grain filling stage	Gonggu70 43.89 N 125.32 E	RNA_B375	NA	cultivar:Gonggu70_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814765	SAMN14917245	NA	seed	late grain filling stage	Yatache 38.49 N 112.94 E	RNA_B043	NA	cultivar:Yatache_38.49_N_112.94_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814766	SAMN14917487	NA	seed	late grain filling stage	Gonggu69 43.89 N 125.32 E	RNA_B374	NA	cultivar:Gonggu69_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814767	SAMN14917486	NA	seed	late grain filling stage	Gonggu67 43.89 N 125.32 E	RNA_B373	NA	cultivar:Gonggu67_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
