BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA592319	SRR10583906	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583907	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583908	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583909	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583910	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583911	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583912	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583913	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583914	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA650146	SRR12399893	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
